match_api_id,home_team_goals_difference,away_team_goals_difference,games_won_home_team,games_won_away_team,games_against_won,games_against_lost,League_1.0,League_1729.0
145,493017.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
153,493025.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
155,493027.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
162,493034.0,1.0,2.0,1.0,1.0,0.0,0.0,1,0
168,493040.0,-2.0,0.0,0.0,0.0,0.0,0.0,1,0
173,493045.0,0.0,-2.0,0.0,0.0,0.0,0.0,1,0
176,493048.0,0.0,2.0,0.0,2.0,0.0,0.0,1,0
189,493061.0,1.0,2.0,1.0,1.0,0.0,0.0,1,0
190,493062.0,1.0,-1.0,1.0,0.0,0.0,0.0,1,0
217,493080.0,-2.0,-2.0,0.0,0.0,0.0,0.0,1,0
219,493082.0,2.0,1.0,2.0,1.0,0.0,0.0,1,0
226,493089.0,-3.0,0.0,0.0,0.0,0.0,0.0,1,0
229,493092.0,3.0,-3.0,2.0,0.0,0.0,0.0,1,0
231,493094.0,0.0,0.0,0.0,2.0,0.0,0.0,1,0
234,493097.0,0.0,1.0,0.0,1.0,0.0,0.0,1,0
240,493103.0,2.0,-1.0,2.0,2.0,0.0,0.0,1,0
242,493105.0,-4.0,1.0,0.0,1.0,0.0,0.0,1,0
243,493106.0,-1.0,4.0,1.0,3.0,0.0,0.0,1,0
244,493107.0,4.0,2.0,3.0,1.0,0.0,0.0,1,0
308,665321.0,-3.0,3.0,1.0,3.0,0.0,1.0,1,0
309,665322.0,0.0,-3.0,0.0,0.0,0.0,0.0,1,0
310,665323.0,0.0,6.0,0.0,4.0,0.0,0.0,1,0
313,665411.0,6.0,14.0,5.0,8.0,0.0,1.0,1,0
317,665417.0,-1.0,-8.0,4.0,0.0,0.0,0.0,1,0
319,665421.0,0.0,-7.0,3.0,1.0,0.0,0.0,1,0
320,665425.0,6.0,11.0,5.0,6.0,0.0,0.0,1,0
322,665427.0,-3.0,1.0,1.0,5.0,0.0,1.0,1,0
323,665429.0,-6.0,2.0,1.0,4.0,0.0,0.0,1,0
324,665430.0,-10.0,-5.0,0.0,2.0,0.0,0.0,1,0
326,665435.0,-9.0,10.0,1.0,5.0,0.0,0.0,1,0
327,665438.0,8.0,-2.0,5.0,2.0,0.0,0.0,1,0
330,665443.0,-4.0,-2.0,2.0,2.0,0.0,0.0,1,0
332,665445.0,2.0,11.0,6.0,7.0,1.0,0.0,1,0
335,665536.0,11.0,-10.0,7.0,0.0,0.0,0.0,1,0
338,665541.0,8.0,-2.0,5.0,4.0,0.0,0.0,1,0
339,665543.0,-2.0,-1.0,2.0,5.0,0.0,0.0,1,0
341,665548.0,8.0,8.0,5.0,6.0,1.0,0.0,1,0
344,665554.0,-3.0,-7.0,2.0,2.0,1.0,0.0,1,0
